beta1,beta2,min_loss,final_loss,coupling_ratio_max,theoretical_regime,empirical_regime,stable_bound_b1,exist_bound_b1
0.02,0.02,7.339023915317678e-80,1.3314462589507685e-14,4.799120109700027e+50,I_stable,II_spike,0.02,0.053182958969449884
0.02,0.03959183673469388,1.16456e-319,1.16456e-319,2.0218559113498888e+101,I_stable,I_stable,0.03959183673469388,0.0887573316607622
0.02,0.05918367346938776,6.072e-320,6.072e-320,1.9665235894510723e+101,I_stable,I_stable,0.05918367346938776,0.11999176412600944
0.02,0.07877551020408163,1.041e-320,1.041e-320,1.936955621391633e+101,I_stable,I_stable,0.07877551020408163,0.14869399108610135
0.02,0.09836734693877551,6.216e-320,6.216e-320,1.8991760563384997e+101,I_stable,I_stable,0.09836734693877551,0.17564598165422904
0.02,0.11795918367346939,2.2184e-320,2.2184e-320,3.143440931724496e+101,I_stable,I_stable,0.11795918367346939,0.20127916346199196
0.02,0.13755102040816325,4.706e-320,4.706e-320,2.152587847301741e+101,I_stable,I_stable,0.13755102040816325,0.2258644406312193
0.02,0.1571428571428571,7.1304e-320,7.1304e-320,3.824787815722749e+101,I_stable,I_stable,0.1571428571428571,0.24958643848936826
0.02,0.176734693877551,2.3266e-320,2.3266e-320,2.2745842930386885e+101,I_stable,I_stable,0.176734693877551,0.27257835044093476
0.02,0.1963265306122449,2.344e-320,2.344e-320,2.5345665119546946e+101,I_stable,I_stable,0.1963265306122449,0.29494038580671944
0.02,0.21591836734693876,2.426e-320,2.426e-320,4.369980433027135e+101,I_stable,I_stable,0.21591836734693876,0.31675041368227413
0.02,0.23551020408163262,4.8957e-320,4.8957e-320,4.884325099047878e+101,I_stable,I_stable,0.23551020408163262,0.33807051609020067
0.02,0.25510204081632654,2.286e-320,2.286e-320,3.553608246920906e+101,I_stable,I_stable,0.25510204081632654,0.35895123321356215
0.02,0.2746938775510204,1.8923e-320,1.8923e-320,6.175373139914131e+101,I_stable,I_stable,0.2746938775510204,0.3794344287204513
0.02,0.29428571428571426,2.4664e-320,2.4664e-320,6.195659303394985e+101,I_stable,I_stable,0.29428571428571426,0.39955529026532965
0.02,0.31387755102040815,1.8177e-320,1.8177e-320,6.566806855915563e+101,I_stable,I_stable,0.31387755102040815,0.41934376641984905
0.02,0.33346938775510204,2.2544e-320,2.2544e-320,6.868976446139963e+101,I_stable,I_stable,0.33346938775510204,0.4388256240669263
0.02,0.35306122448979593,1.7925e-320,1.7925e-320,6.68739620938088e+101,I_stable,I_stable,0.35306122448979593,0.45802324290480784
0.02,0.3726530612244898,1.863e-320,1.863e-320,9.419737199142194e+101,I_stable,I_stable,0.3726530612244898,0.4769562233715155
0.02,0.39224489795918366,1.635e-320,1.635e-320,1.0632304492631885e+102,I_stable,I_stable,0.39224489795918366,0.49564185930152915
0.02,0.41183673469387755,2.1106e-320,2.1106e-320,9.254473887390317e+101,I_stable,I_stable,0.41183673469387755,0.5140955106577026
